Paystep,BA,Pre1970,BA+30,BA+60,BA+66,BA+96,MA,MA+,Salary Schedule
7B+L5,71628,76998,73618,77297,78989,82664,80980,86347,2020
8A,74165,79535,76155,79834,81526,85201,83517,88884,2020
8A+L5,75414,80784,77404,81083,82775,86450,84766,90133,2020
8B,78662,84032,80652,84331,86023,89698,88014,93381,2020
8B+L5,79911,85281,81901,85580,87272,90947,89263,94630,2020
8B+L10,83767,89137,85757,89436,91128,94803,93119,98486,2020
8B+L13,86392,91762,88382,92061,93753,97428,95744,101111,2020
8B+L15,91933,97303,93923,97602,99294,102969,101285,106652,2020
8B+L18,93387,98757,95377,99056,100748,104423,102739,108106,2020
8B+L20,104139,109509,106129,109808,111500,115175,113491,118858,2020
8B+L22,110190,115560,112180,115859,117551,121226,119542,124909,2020
1A,61070,66601,63120,66909,68652,72437,70703,76231,2021
2A,62284,67815,64334,68123,69866,73651,71917,77445,2021
3A,62799,68330,64849,68638,70381,74166,72432,77960,2021
4A,63708,69239,65758,69547,71290,75075,73341,78869,2021
5A,64494,70025,66544,70333,72076,75861,74127,79655,2021
6A,65340,70871,67390,71179,72922,76707,74973,80501,2021
6A+L5,66626,72157,68676,72465,74208,77993,76259,81787,2021
6B,66540,72071,68590,72379,74122,77907,76173,81701,2021
6B+L5,67826,73357,69876,73665,75408,79193,77459,82987,2021
7A,68320,73851,70370,74159,75902,79687,77953,83481,2021
7A+L5,69606,75137,71656,75445,77188,80973,79239,84767,2021
7B,72490,78021,74540,78329,80072,83857,82123,87651,2021
7B+L5,73776,79307,75826,79615,81358,85143,83409,88937,2021
8A,76390,81921,78440,82229,83972,87757,86023,91551,2021
8A+L5,77676,83207,79726,83515,85258,89043,87309,92837,2021
8B,81022,86553,83072,86861,88604,92389,90655,96183,2021
8B+L5,82308,87839,84358,88147,89890,93675,91941,97469,2021
8B+L10,86280,91811,88330,92119,93862,97647,95913,101441,2021
8B+L13,88984,94515,91034,94823,96566,100351,98617,104145,2021
8B+L15,94691,100222,96741,100530,102273,106058,104324,109852,2021
8B+L18,96189,101720,98239,102028,103771,107556,105822,111350,2021
8B+L20,107263,112794,109313,113102,114845,118630,116896,122424,2021
8B+L22,113496,119027,115546,119335,121078,124863,123129,128657,2021
1A,62902,68599,65014,68916,70711,74610,72824,78518,2022
2A,64153,69850,66265,70167,71962,75861,74075,79769,2022
3A,64683,70380,66795,70697,72492,76391,74605,80299,2022
4A,65619,71316,67731,71633,73428,77327,75541,81235,2022
5A,66429,72126,68541,72443,74238,78137,76351,82045,2022
6A,67300,72997,69412,73314,75109,79008,77222,82916,2022
6A+L5,68625,74322,70737,74639,76434,80333,78547,84241,2022
6B,68536,74233,70648,74550,76345,80244,78458,84152,2022
6B+L5,69861,75558,71973,75875,77670,81569,79783,85477,2022
7A,70370,76067,72482,76384,78179,82078,80292,85986,2022
7A+L5,71695,77392,73807,77709,79504,83403,81617,87311,2022
7B,74665,80362,76777,80679,82474,86373,84587,90281,2022
7B+L5,75990,81687,78102,82004,83799,87698,85912,91606,2022
8A,78682,84379,80794,84696,86491,90390,88604,94298,2022
8A+L5,80007,85704,82119,86021,87816,91715,89929,95623,2022
8B,83453,89150,85565,89467,91262,95161,93375,99069,2022
8B+L5,84778,90475,86890,90792,92587,96486,94700,100394,2022
8B+L10,88869,94566,90981,94883,96678,100577,98791,104485,2022
8B+L13,91654,97351,93766,97668,99463,103362,101576,107270,2022
8B+L15,97532,103229,99644,103546,105341,109240,107454,113148,2022
8B+L18,99075,104772,101187,105089,106884,110783,108997,114691,2022
8B+L20,110481,116178,112593,116495,118290,122189,120403,126097,2022
8B+L22,116901,122598,119013,122915,124710,128609,126823,132517,2022
